"DateTime","Moc chwilowa PV"
"2021-01-07 12:11:13",0.12
"2021-01-07 12:15:01",0.158
"2021-01-07 12:20:01",0.228
"2021-01-07 12:27:25",0.17
"2021-01-07 12:31:13",0.458
"2021-01-07 12:36:13",0.372
"2021-01-07 12:41:13",0.348
"2021-01-07 12:45:01",0.489
"2021-01-07 12:51:13",0.184
"2021-01-07 12:56:13",0.252
"2021-01-07 13:01:13",0.12
"2021-01-07 13:05:01",0.158
"2021-01-07 13:11:13",0.184
"2021-01-07 13:15:01",0.174
"2021-01-07 13:21:13",0.194
"2021-01-07 13:26:13",0
"2021-01-07 13:30:01",0.142
"2021-01-07 13:36:13",0.097
"2021-01-07 13:41:13",0.252
"2021-01-07 13:46:13",0.24
"2021-01-07 13:52:25",0.194
"2021-01-07 13:55:01",0
"2021-01-07 14:01:13",0.097
"2021-01-07 14:05:01",0
"2021-01-07 14:35:01",0.02
"2021-01-07 14:40:01",0.12
"2021-01-07 14:45:01",0
"2021-01-08 09:26:11",0
"2021-01-08 09:50:01",0.025
"2021-01-08 09:55:01",0
"2021-01-08 10:01:11",0.107
"2021-01-08 10:06:11",0.12
"2021-01-08 10:11:11",0
"2021-01-08 10:15:01",0.157
"2021-01-08 10:21:11",0.097
"2021-01-08 10:25:01",0.141
"2021-01-08 10:31:11",0.107
"2021-01-08 10:36:11",0.12
"2021-01-08 10:40:01",0.157
"2021-01-08 10:45:01",0.12
"2021-01-08 10:51:11",0.195
"2021-01-08 10:55:01",0.157
"2021-01-08 11:01:11",0.195
"2021-01-08 11:06:11",0.108
"2021-01-08 11:11:11",0.252
"2021-01-08 11:16:11",0.12
"2021-01-08 11:20:01",0.297
"2021-01-08 11:25:01",0.252
"2021-01-08 11:30:01",0.24
"2021-01-08 11:36:11",0.292
"2021-01-08 11:41:11",0.24
"2021-01-08 11:46:11",0.348
"2021-01-08 11:51:11",0.372
"2021-01-08 11:55:01",0.297
"2021-01-08 12:00:01",0.372
"2021-01-08 12:06:11",0.292
"2021-01-08 12:11:11",0.36
"2021-01-08 12:15:01",0.47
"2021-01-08 12:21:11",0.486
"2021-01-08 12:26:11",0.36
"2021-01-08 12:31:11",0.48
"2021-01-08 12:35:01",0.454
"2021-01-08 12:41:11",0.399
"2021-01-08 12:45:01",0.313
"2021-01-08 12:51:11",0.379
"2021-01-08 12:56:11",0.252
"2021-01-08 13:01:11",0.348
"2021-01-08 13:05:01",0.157
"2021-01-08 13:10:01",0.252
"2021-01-08 13:16:11",0.185
"2021-01-08 13:20:01",0.329
"2021-01-08 13:25:01",0.12
"2021-01-08 13:35:01",0.174
"2021-01-08 13:40:01",0.132
"2021-01-08 13:45:01",0.12
"2021-01-08 13:51:11",0.097
"2021-01-08 13:55:01",0.157
"2021-01-08 14:00:01",0
"2021-01-08 14:05:01",0.108
"2021-01-08 14:10:01",0
"2021-01-08 14:25:01",0.04
"2021-01-08 14:30:01",0
"2021-01-09 09:20:01",0.001
"2021-01-09 09:25:01",0.12
"2021-01-09 09:31:11",0.097
"2021-01-09 09:35:01",0.157
"2021-01-09 09:41:13",0.087
"2021-01-09 09:46:11",0
"2021-01-09 10:00:01",0.048
"2021-01-09 10:06:11",0
"2021-01-09 11:16:11",0.009
"2021-01-09 11:21:11",0.12
"2021-01-09 11:26:11",0
"2021-01-09 11:35:01",0.068
"2021-01-09 11:41:11",0.195
"2021-01-09 11:45:01",0.157
"2021-01-09 11:50:01",0.24
"2021-01-09 11:55:01",0.108
"2021-01-09 12:01:11",0.302
"2021-01-09 12:06:10",0.12
"2021-01-09 12:10:00",0.141
"2021-01-09 12:16:10",0.204
"2021-01-09 12:20:00",0.157
"2021-01-09 12:26:10",0
"2021-01-09 12:36:10",0.06
"2021-01-09 12:41:10",0
"2021-01-09 12:45:00",0.157
"2021-01-09 12:51:10",0.088
"2021-01-09 12:56:10",0.132
"2021-01-09 13:00:00",0.157
"2021-01-09 13:06:10",0.195
"2021-01-09 13:15:00",0.061
"2021-01-09 13:20:00",0.12
"2021-01-09 13:26:10",0.107
"2021-01-09 13:31:10",0
"2021-01-09 13:55:00",0.025
"2021-01-09 14:01:10",0
"2021-01-09 14:15:00",0.043
"2021-01-09 14:20:00",0.12
"2021-01-09 14:25:00",0
"2021-01-09 14:30:00",0.108
"2021-01-09 14:35:00",0.132
"2021-01-09 14:41:10",0.097
"2021-01-09 14:45:00",0
"2021-01-11 08:21:10",0
"2021-01-11 08:26:11",0.12
"2021-01-11 08:31:10",0.108
"2021-01-11 08:35:01",0.171
"2021-01-11 08:41:10",0.098
"2021-01-11 08:46:10",0.24
"2021-01-11 08:51:10",0.108
"2021-01-11 08:55:00",0.329
"2021-01-11 09:00:01",0.239
"2021-01-11 09:06:10",0.293
"2021-01-11 09:10:00",0.157
"2021-01-11 09:15:00",0.348
"2021-01-11 09:21:10",0.302
"2021-01-11 09:25:00",0.454
"2021-01-11 09:31:10",0.486
"2021-01-11 09:35:00",0.485
"2021-01-11 09:41:11",0.67
"2021-01-11 09:46:10",0.602
"2021-01-11 09:51:11",0.718
"2021-01-11 09:56:10",0.855
"2021-01-11 10:01:11",0.837
"2021-01-11 10:06:10",0.831
"2021-01-11 10:10:01",0.779
"2021-01-11 10:16:11",1.07
"2021-01-11 10:21:10",1.216
"2021-01-11 10:26:10",1.2
"2021-01-11 10:31:11",1.076
"2021-01-11 10:36:11",1.2
"2021-01-11 10:41:10",1.192
"2021-01-11 10:51:11",1.144
"2021-01-11 10:56:10",1.084
"2021-01-11 11:01:11",1.064
"2021-01-11 11:05:00",1.116
"2021-01-11 11:10:00",0.96
"2021-01-11 11:16:10",0.973
"2021-01-11 11:20:01",1.075
"2021-01-11 11:26:11",0.973
"2021-01-11 11:31:10",0.975
"2021-01-11 11:36:10",0.948
"2021-01-11 11:40:00",0.939
"2021-01-11 11:45:00",0.972
"2021-01-11 11:50:00",0.84
"2021-01-11 11:55:01",0.957
"2021-01-11 12:01:11",0.866
"2021-01-11 12:05:01",0.783
"2021-01-11 12:11:10",0.888
"2021-01-11 12:16:10",0.72
"2021-01-11 12:21:10",0.708
"2021-01-11 12:26:10",0.72
"2021-01-11 12:30:00",0.642
"2021-01-11 12:35:00",0.6
"2021-01-11 12:41:12",0.581
"2021-01-11 12:46:10",0.604
"2021-01-11 12:51:10",0.48
"2021-01-11 12:56:10",0.48
"2021-01-11 13:00:00",0.454
"2021-01-11 13:05:00",0.492
"2021-01-11 13:10:00",0.36
"2021-01-11 13:15:00",0.468
"2021-01-11 13:20:00",0.372
"2021-01-11 13:25:00",0.348
"2021-01-11 13:30:00",0.372
"2021-01-11 13:35:00",0.36
"2021-01-11 13:41:10",0.292
"2021-01-11 13:45:00",0.297
"2021-01-11 13:51:12",0.3
"2021-01-11 13:55:00",0.3
"2021-01-11 14:00:00",0.252
"2021-01-11 14:05:00",0.24
"2021-01-11 14:10:00",0.24
"2021-01-11 14:15:00",0.24
"2021-01-11 14:20:00",0.228
"2021-01-11 14:25:00",0.252
"2021-01-11 14:30:00",0.12
"2021-01-11 14:35:00",0.24
"2021-01-11 14:40:00",0.24
"2021-01-11 14:45:00",0.12
"2021-01-11 14:50:00",0.12
"2021-01-11 14:55:00",0.12
"2021-01-11 15:00:00",0.24
"2021-01-11 15:05:00",0
"2021-01-11 15:10:00",0.12
"2021-01-11 15:15:00",0.12
"2021-01-11 15:20:00",0.12
"2021-01-11 15:25:00",0
"2021-01-12 08:16:11",0.001
"2021-01-12 08:21:13",0
"2021-01-12 08:25:00",0.159
"2021-01-12 08:30:01",0.132
"2021-01-12 08:36:10",0.098
"2021-01-12 08:40:00",0.157
"2021-01-12 08:45:00",0.108
"2021-01-12 08:51:10",0.204
"2021-01-12 08:55:00",0.313
"2021-01-12 09:00:01",0.227
"2021-01-12 09:06:10",0.205
"2021-01-12 09:11:10",0.24
"2021-01-12 09:16:10",0.228
"2021-01-12 09:21:10",0.252
"2021-01-12 09:26:11",0.239
"2021-01-12 09:31:11",0.36
"2021-01-12 09:36:10",0.349
"2021-01-12 09:40:00",0.329
"2021-01-12 09:45:00",0.348
"2021-01-12 09:51:10",0.399
